,year_built,sqft,baths,stories,beds,garage,type,is_foreclosure,city,tags,price
0,1993.0,1926.0,2.0,1.0,3.0,2.0,single_family,,Indianapolis,"['central_air', 'community_golf', 'community_spa_or_hot_tub', 'dining_room', 'fireplace', 'forced_air', 'golf_course_view', 'recreation_facilities', 'view', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'high_ceiling', 'cathedral_ceiling', 'master_bedroom', 'ensuite', 'farm', 'ranch', 'clubhouse', 'golf_course']",269000
1,2004.0,2298.0,3.0,2.0,3.0,2.0,single_family,,Indianapolis,"['central_air', 'dining_room', 'fireplace', 'forced_air', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'community_swimming_pool', 'big_yard', 'fenced_yard', 'clubhouse']",315000
2,2003.0,2376.0,2.0,2.0,3.0,2.0,single_family,,Indianapolis,"['central_air', 'community_security_features', 'dining_room', 'fireplace', 'forced_air', 'hardwood_floors', 'lake_view', 'view', 'water_view', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'waterfront', 'modern_kitchen', 'outdoor_kitchen', 'big_yard', 'cathedral_ceiling', 'master_bedroom', 'ensuite', 'pond', 'views']",385000
3,1986.0,936.0,2.0,2.0,2.0,1.0,condos,,Indianapolis,"['central_air', 'community_spa_or_hot_tub', 'dining_room', 'fireplace', 'lake_view', 'recreation_facilities', 'view', 'water_view', 'two_or_more_stories', 'garage_1_or_more', 'waterfront', 'vaulted_ceiling', 'pond', 'shopping']",161500
4,2003.0,3240.0,3.0,2.0,4.0,2.0,single_family,,Indianapolis,"['city_view', 'community_park', 'community_spa_or_hot_tub', 'den_or_office', 'dining_room', 'fireplace', 'forced_air', 'recreation_facilities', 'view', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'big_yard', 'media_room', 'ensuite', 'park', 'golf_course', 'trails', 'shopping']",310000
5,2001.0,1899.0,3.0,2.0,3.0,2.0,single_family,,Indianapolis,"['central_air', 'fireplace', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",220000
6,1954.0,1360.0,1.0,2.0,2.0,2.0,single_family,,Indianapolis,"['basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'fixer_upper']",75000
7,2007.0,1455.0,2.0,1.0,3.0,2.0,single_family,,Indianapolis,"['central_air', 'city_view', 'community_spa_or_hot_tub', 'dining_room', 'energy_efficient', 'fireplace', 'forced_air', 'recreation_facilities', 'view', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'floor_plan', 'ensuite']",220000
8,1993.0,2548.0,4.0,2.0,4.0,2.0,single_family,,Indianapolis,"['central_air', 'community_spa_or_hot_tub', 'dining_room', 'family_room', 'fireplace', 'forced_air', 'golf_course_view', 'recreation_facilities', 'view', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'large_kitchen', 'big_yard', 'high_ceiling', 'master_bedroom', 'golf_course']",330000
9,2003.0,2595.0,3.0,2.0,3.0,2.0,single_family,,Indianapolis,"['central_air', 'community_spa_or_hot_tub', 'dining_room', 'family_room', 'forced_air', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'kitchen_island', 'new_roof', 'park', 'shopping']",325000
10,1973.0,1012.0,1.0,2.0,2.0,,condos,,Indianapolis,"['central_air', 'dining_room', 'forced_air', 'two_or_more_stories']",69000
